               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.027242,           0.0080304,           0.0041903,             0.95264,              0.9425,             0.98642,             0.66977,            0.025505,           0.0046762,           0.0024498,           0.0088714,           0.0088714,           0.0088714
                 116,            0.028912,           0.0083501,           0.0047627,             0.97469,             0.95445,             0.98929,             0.62628,            0.021527,           0.0045112,           0.0025307,           0.0088615,           0.0088615,           0.0088615
                 117,            0.028931,           0.0079774,           0.0045031,              0.9509,             0.95384,             0.98914,              0.7988,            0.021772,           0.0043463,           0.0025059,           0.0088516,           0.0088516,           0.0088516
                 118,            0.029068,           0.0078955,           0.0045871,             0.95166,             0.93088,             0.98561,             0.70062,            0.023862,           0.0044802,           0.0024258,           0.0088417,           0.0088417,           0.0088417
                 119,            0.028138,            0.008438,           0.0046102,             0.93403,             0.96767,             0.98577,             0.68499,            0.025754,           0.0044472,           0.0023548,           0.0088318,           0.0088318,           0.0088318
                 120,            0.027944,           0.0081047,           0.0040578,             0.98105,             0.95092,             0.99181,             0.62987,            0.022408,           0.0043855,           0.0022851,           0.0088219,           0.0088219,           0.0088219
                 121,            0.029147,           0.0087299,           0.0045043,             0.96849,             0.96212,              0.9894,             0.72021,            0.021915,           0.0044573,           0.0022486,            0.008812,            0.008812,            0.008812
                 122,            0.028936,           0.0076908,           0.0055719,             0.93062,             0.96253,             0.98634,             0.68785,            0.020655,           0.0043591,           0.0022807,           0.0088021,           0.0088021,           0.0088021
                 123,            0.029034,           0.0077772,           0.0040047,             0.92186,             0.97861,             0.98772,             0.76347,            0.020528,           0.0042714,           0.0023025,           0.0087922,           0.0087922,           0.0087922
                 124,            0.027759,           0.0085628,           0.0040517,             0.95165,             0.97096,             0.98971,             0.75172,            0.022241,           0.0043552,           0.0022477,           0.0087823,           0.0087823,           0.0087823
                 125,            0.025777,           0.0080413,           0.0048136,             0.94904,             0.98234,             0.98971,             0.73382,            0.022861,           0.0043325,           0.0023913,           0.0087724,           0.0087724,           0.0087724
                 126,            0.027373,           0.0084966,           0.0040614,               0.947,             0.98232,             0.98865,             0.77859,            0.020657,           0.0042176,           0.0023692,           0.0087625,           0.0087625,           0.0087625
                 127,            0.026028,           0.0066409,           0.0035932,              0.9581,             0.97684,             0.98838,             0.73803,            0.024721,           0.0041696,           0.0022336,           0.0087526,           0.0087526,           0.0087526
                 128,            0.029335,           0.0081409,           0.0043209,             0.96543,             0.97829,             0.98865,             0.73208,            0.022344,           0.0042002,           0.0023884,           0.0087427,           0.0087427,           0.0087427
                 129,            0.028025,           0.0079878,           0.0035767,             0.95117,             0.92714,             0.97406,             0.75266,            0.020916,           0.0043227,           0.0024588,           0.0087328,           0.0087328,           0.0087328
                 130,            0.026372,             0.00816,           0.0048843,             0.97245,             0.97633,             0.98958,             0.75776,            0.021251,           0.0042694,             0.00225,           0.0087229,           0.0087229,           0.0087229
                 131,            0.026798,           0.0072452,           0.0039772,             0.98286,             0.97205,             0.99141,             0.77407,            0.021587,           0.0043384,           0.0021904,            0.008713,            0.008713,            0.008713
                 132,            0.027778,           0.0072828,           0.0033848,             0.98509,             0.96107,             0.99223,             0.75204,            0.023547,           0.0042859,           0.0021331,           0.0087031,           0.0087031,           0.0087031
                 133,            0.027239,           0.0077224,           0.0030255,             0.98105,              0.9609,             0.99181,             0.72611,            0.021096,           0.0042349,           0.0020326,           0.0086932,           0.0086932,           0.0086932
                 134,            0.028636,           0.0079357,           0.0045314,             0.96906,             0.97524,             0.99125,             0.72581,            0.019726,           0.0042086,           0.0019939,           0.0086833,           0.0086833,           0.0086833
                 135,             0.02658,           0.0076815,           0.0041804,             0.97732,             0.96626,             0.99244,             0.73883,            0.019471,           0.0042166,            0.001925,           0.0086734,           0.0086734,           0.0086734
                 136,            0.028649,           0.0079168,           0.0041552,             0.94456,             0.98859,              0.9935,             0.76207,            0.022319,           0.0044082,           0.0019276,           0.0086635,           0.0086635,           0.0086635
                 137,            0.028266,           0.0075356,           0.0047124,             0.93572,             0.99337,             0.99148,             0.78521,            0.021329,           0.0043483,           0.0019285,           0.0086536,           0.0086536,           0.0086536
                 138,            0.027163,           0.0074158,           0.0050833,             0.98678,             0.92564,             0.99306,             0.67745,            0.020052,            0.004299,           0.0020336,           0.0086437,           0.0086437,           0.0086437
                 139,            0.024953,            0.007793,           0.0040044,             0.95011,             0.93085,               0.986,              0.6893,            0.023295,           0.0043375,           0.0021919,           0.0086338,           0.0086338,           0.0086338
                 140,            0.025911,           0.0081363,           0.0046136,             0.91951,             0.93656,             0.97391,             0.76083,            0.019868,           0.0042916,           0.0022461,           0.0086239,           0.0086239,           0.0086239
                 141,            0.026012,           0.0074127,           0.0043648,             0.94191,             0.95955,             0.98849,             0.74053,            0.019481,           0.0042586,           0.0021223,            0.008614,            0.008614,            0.008614
                 142,            0.027294,           0.0069841,           0.0045722,              0.9783,             0.96923,             0.99188,             0.78135,            0.018217,           0.0042589,           0.0019378,           0.0086041,           0.0086041,           0.0086041
                 143,            0.024797,           0.0073803,           0.0035972,              0.9796,              0.9909,             0.99291,             0.77183,             0.02021,           0.0041502,           0.0018366,           0.0085942,           0.0085942,           0.0085942
                 144,            0.025286,           0.0072172,           0.0036967,             0.93932,             0.98383,             0.99219,             0.72896,            0.023343,           0.0043552,           0.0017952,           0.0085843,           0.0085843,           0.0085843
                 145,            0.026616,           0.0072358,           0.0045873,             0.96586,             0.97049,             0.99144,             0.68036,            0.022269,           0.0042323,           0.0017624,           0.0085744,           0.0085744,           0.0085744
                 146,            0.025786,           0.0080948,           0.0039996,             0.96124,             0.96991,             0.98209,             0.65816,            0.023083,            0.004285,           0.0017125,           0.0085645,           0.0085645,           0.0085645
                 147,             0.02745,           0.0077166,              0.0034,             0.96289,             0.98998,             0.99369,             0.74887,            0.021056,            0.004192,            0.001745,           0.0085546,           0.0085546,           0.0085546
                 148,            0.026733,           0.0079313,           0.0038705,             0.93507,              0.9692,             0.99129,             0.66107,            0.019448,           0.0041754,            0.001817,           0.0085447,           0.0085447,           0.0085447
                 149,            0.025752,           0.0077997,           0.0032879,             0.96605,             0.98006,             0.99344,             0.70792,             0.02105,           0.0042542,           0.0018645,           0.0085348,           0.0085348,           0.0085348
                 150,            0.027498,           0.0072238,           0.0039856,             0.95355,              0.9854,             0.99292,             0.72128,            0.020502,           0.0042523,           0.0019455,           0.0085249,           0.0085249,           0.0085249
                 151,            0.026895,           0.0079167,           0.0034885,             0.95939,             0.97398,             0.99197,             0.78931,            0.017574,           0.0041586,           0.0020326,            0.008515,            0.008515,            0.008515
                 152,            0.025864,           0.0074766,           0.0038643,              0.9824,             0.95879,             0.99245,             0.77842,            0.018069,           0.0042794,           0.0020958,           0.0085051,           0.0085051,           0.0085051
